"1","30988","371621","惠民县","0","3","371621000000",""
"2","81440","371621001","孙武街道办事处","30988","4","371621001000",""
"3","81441","371621002","武定府街道办事处","30988","4","","武定府街道办事处[371621002]不在数据库内"
"4","81442","371621003","何坊街道办事处","30988","4","371621003000",""
"5","81443","371621101","石庙镇","30988","4","371621101000",""
"6","81444","371621102","桑落墅镇","30988","4","371621102000",""
"7","81445","371621103","淄角镇","30988","4","371621103000",""
"8","81446","371621104","胡集镇","30988","4","371621104000",""
"9","81447","371621105","李庄镇","30988","4","371621105000",""
"10","81448","371621107","麻店镇","30988","4","371621107000",""
"11","81449","371621108","魏集镇","30988","4","371621108000",""
"12","81450","371621109","清河镇","30988","4","371621109000",""
"13","81451","371621111","姜楼镇","30988","4","371621111000",""
"14","81452","371621113","辛店镇","30988","4","371621113000",""
"15","81453","371621114","大年陈镇","30988","4","371621114000",""
"16","81454","371621115","皂户李镇","30988","4","371621115000",""
"17","81455","371621001020","古城社区居民委员会","81440","5","371621001020",""
"18","81456","371621001021","城关社区居民委员会","81440","5","371621001021",""
"19","81457","371621001022","棣州社区居民委员会","81440","5","371621001022",""
"20","81458","371621001023","孙武社区居民委员会","81440","5","371621001023",""
"21","81459","371621001024","高官社区居民委员会","81440","5","371621001024",""
"22","81460","371621001025","好美居社区居民委员会","81440","5","371621001025",""
"23","81461","371621001026","幸福社区居民委员会","81440","5","371621001026",""
"24","81462","371621001027","邓家社区居民委员会","81440","5","371621001027",""
"25","81463","371621001332","朱老虎社区村民委员会","81440","5","371621001332",""
"26","81464","371621001333","后齐社区村民委员会","81440","5","371621001333",""
"27","81465","371621001334","城北社区村民委员会","81440","5","371621001334",""
"28","81466","371621001335","马杨社区村民委员会","81440","5","371621001335",""
"29","81467","371621001336","堤上李社区村民委员会","81440","5","371621001336",""
"30","81468","371621001337","史张社区村民委员会","81440","5","371621001337",""
"31","81469","371621003001","福苑社区居民委员会","81442","5","371621003001",""
"32","81470","371621003310","刘集社区村民委员会","81442","5","371621003310",""
"33","81471","371621003311","何坊社区村民委员会","81442","5","371621003311",""
"34","81472","371621003312","大商社区村民委员会","81442","5","371621003312",""
"35","81473","371621003313","展家社区村民委员会","81442","5","371621003313",""
"36","81474","371621003314","斗子李社区村民委员会","81442","5","371621003314",""
"37","81475","371621003315","毛刘社区村民委员会","81442","5","371621003315",""
"38","81476","371621003316","大李社区村民委员会","81442","5","371621003316",""
"39","81477","371621003317","前苏社区村民委员会","81442","5","371621003317",""
"40","81478","371621101327","石庙中心社区村民委员会","81443","5","371621101327",""
"41","81479","371621101328","御史社区村民委员会","81443","5","371621101328",""
"42","81480","371621101329","大田社区村民委员会","81443","5","371621101329",""
"43","81481","371621101330","于王社区村民委员会","81443","5","371621101330",""
"44","81482","371621101331","九龙社区村民委员会","81443","5","371621101331",""
"45","81483","371621101332","梁家社区村民委员会","81443","5","371621101332",""
"46","81484","371621101333","青阳店社区村民委员会","81443","5","371621101333",""
"47","81485","371621101334","付南社区村民委员会","81443","5","371621101334",""
"48","81486","371621101335","付北社区村民委员会","81443","5","371621101335",""
"49","81487","371621101336","孟家社区村民委员会","81443","5","371621101336",""
"50","77239","371621101Z04000","石庙镇A御史村","81443","5","","石庙镇A御史村[371621101Z04000]不在数据库内"
"51","77237","371621101Z02000","石庙镇A西楼子王村","81443","5","","石庙镇A西楼子王村[371621101Z02000]不在数据库内"
"52","77241","371621101Z05000","石庙镇项目-远盛肉牛","81443","5","","石庙镇项目-远盛肉牛[371621101Z05000]不在数据库内"
"53","77236","371621101Z01000","石庙镇A于陈村","81443","5","","石庙镇A于陈村[371621101Z01000]不在数据库内"
"54","77060","371621101000000","经管站","81443","5","","经管站[371621101000000]不在数据库内"
"55","77242","371621101Z07000","石庙镇项目-地热供暖","81443","5","","石庙镇项目-地热供暖[371621101Z07000]不在数据库内"
"56","77240","371621101Z06000","石庙镇项目-百牧畜牧","81443","5","","石庙镇项目-百牧畜牧[371621101Z06000]不在数据库内"
"57","77238","371621101Z03000","石庙镇A土牛张村","81443","5","","石庙镇A土牛张村[371621101Z03000]不在数据库内"
"58","77243","371621101Z08000","石庙镇项目-骏茂花卉","81443","5","","石庙镇项目-骏茂花卉[371621101Z08000]不在数据库内"
"59","81488","371621102273","桑落墅社区村民委员会","81444","5","371621102273",""
"60","81489","371621102274","韩龙章社区村民委员会","81444","5","371621102274",""
"61","81490","371621102275","庙尚社区村民委员会","81444","5","371621102275",""
"62","81491","371621102276","辛店社区","81444","5","371621102276",""
"63","81492","371621102277","徐家社区村民委员会","81444","5","371621102277",""
"64","81493","371621102278","苇子高社区村民委员会","81444","5","371621102278",""
"65","83120","371621102999","扶贫专账","81444","5","","扶贫专账[371621102999]不在数据库内"
"66","83176","371621103001","钢结构蔬菜棚扶贫专账","81445","5","","钢结构蔬菜棚扶贫专账[371621103001]不在数据库内"
"67","83177","371621103002","村级扶贫切块扶贫专账","81445","5","","村级扶贫切块扶贫专账[371621103002]不在数据库内"
"68","83178","371621103003","马店社区","81445","5","","马店社区[371621103003]不在数据库内"
"69","83179","371621103004","大湾社区","81445","5","","大湾社区[371621103004]不在数据库内"
"70","83180","371621103005","大魏社区","81445","5","","大魏社区[371621103005]不在数据库内"
